image,question,answer
image2099,What is composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,squamous cell carcinoma
image2100,What is there in terminal ducts?,mild epithelial hyperplasia
image2101,What are conspicuously absent?,inflammatory changes
image2101,What is also seen in the wall?,a partly formed unerupted tooth
image2102,What is tumor composed of?,nests of basaloid cells
image2102,What is composed of nests of basaloid cells infiltrating a fibrotic stroma?,the tumor
image2102,What is a highly characteristic artifact of sectioning?,the cleft between the tumor cells and the stroma
image2102,What is the cleft between the tumor cells and the stroma?,a highly characteristic artifact of sectioning
image2103,What shows mild fatty change of liver cells?,the peripheral zone
image2103,What does the peripheral zone show?,mild fatty change of liver cells
image2103,What shows marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,centrilobular zone
image2103,What does the centrilobular zone show?,marked degeneration and necrosis of hepatocytes accompanied by haemorrhage
image2104,What do some of the whorls contain?,psammoma bodies
image2104,What contain psammoma bodies?,some of the whorls
image2104,What do the cells have?,features of both syncytial and fibroblastic type and form whorled appearance
image2105,What surrounds the neoplastic follicles?,a fibrous capsule
image2106,"What is identified by homogeneous, eosinophilic cytoplasm?",cell necrosis
image2107,"What are infiltrated with lymphocytes and some plasma cells,  which spill over into alveolar spaces?",the thickened alveolar walls
image2107,What are the thickened alveolar walls infiltrated with?,lymphocytes and some plasma cells
image2108,What is delineated from the residual normocellular gland on the upper right in this low-power view?,a solitary hypercellular adenoma
image2108,What is a solitary hypercellular adenoma delineated from?,the residual normocellular gland on the upper right
image2109,What are hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,vascular changes
image2109,What are the vascular changes?,hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft
image2109,"What include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",parenchymal changes
image2109,What do the parenchymal changes include?,sclerosed glomeruli
image2110,What does the tumour show?,admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells
image2111,What is the most common histologic pattern?,well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia
image2111,What is well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,the most common histologic pattern
image2112,What is seen on the posterior aspect (lower left)?,carcinomatous tissue
image2112,Where is carcinomatous tissue seen ?,on the posterior aspect
image2113,What does the lumen contain?,necrotic debris
image2113,What shows an outpouching which on section is seen communicating with the intestinal lumen?,resected segment of the small intestine
image2114,What are also included?,areas of necrosis and inflammatory infiltrate
image2114,What shows PAS positive tumour cells in perivascular location?,inbox in the right photomicrograph
image2114,What does Inbox in the right photomicrograph show?,pas positive tumour cells in perivascular location
image2115,What shows minimal variation in nuclear size and occasional follicle formation?,high-power detail
image2116,What are the alveoli filled with?,a characteristic foamy acellular exudate
image2116,What are filled with a characteristic foamy acellular exudate?,the alveoli
image2117,What is infiltrated by macrophages and fibroblasts?,fibromyxoid masses
image2117,"How is Advanced organizing pneumonia,  featuring transformation of exudates to fibromyxoid masses infiltrate?",by macrophages and fibroblasts
image2118,What is composed of granulation tissue overlaid by degraded blood?,the necrotic ulcer base
image2118,What is the necrotic ulcer base composed of?,granulation tissue overlaid by degraded blood
image2119,What are prominent?,intraepithelial and lamina propria neutrophils
image2120,How does a Masson trichrome preparation show complete replacement of virtually all glomeruli?,by blue-staining collagen
image2120,What does a Masson trichrome preparation show?,complete replacement of virtually all glomeruli by blue-staining collagen
image2120,What shows complete replacement of virtually all glomeruli by blue-staining collagen?,a masson trichrome preparation
image2121,Where are abscesses present?,in the putamen and thalamus
image2122,By whose multicentricity are metastatic lesions distinguished grossly from most primary central nervous system tumors?,metastatic grossly from most primary central nervous system tumors by their and well-demarcated margins
image2122,What are distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,metastatic lesions
image2122,What is the dark color of the tumor nodules in this specimen due to?,the presence of melanin
image2122,What is due to the presence of melanin?,the dark color of the tumor nodules
image2123,What does the cytoplasm contain?,progressively less rna and more haemoglobin
image2123,What contains progressively less rna and more haemoglobin?,the cytoplasm 
image2123,What is there of the nuclear chromatin which is eventually extruded from the cell at the late erythroblast stage?,progressive condensation of the nuclear chromatin
image2124,What has reniform contour?,rest of the kidney
image2124,What shows a large and tan mass while rest of the kidney has reniform contour?,upper pole of the kidney
image2124,What does rest of the kidney have?,reniform contour
image2124,"What shows irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",sectioned surface
image2124,What does the upper pole of the kidney show?,a large and tan mass
image2125,What do the glomeruli show?,periglomerular fibrosis
image2125,What shows atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,scarred area
image2125,What does the scarred area show?,atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation
image2125,What are the tubules surrounded by?,abundant fibrous tissue and chronic interstitial inflammatory reaction
image2125,What included are thick-walled?,blood vessels
image2126,How are spiral-shaped Helicobacter pylori bacilli?,highlighted in this warthin-starry silver stain
image2126,What are organisms abundant within?,surface mucus
image2126,What are highlighted in this Warthin-Starry silver stain?,spiral-shaped helicobacter pylori bacilli
image2127,What are the alveolar walls lined by?,cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern
image2127,What are lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?,alveolar walls
image2128,What are distended?,alveoli and respiratory bronchioles surrounding the coal macule
image2128,What are seen surrounding respiratory bronchioles?,coal macules composed of aggregates of dust-laden macrophages and collagens
image2128,What are coal macules composed of?,aggregates of dust-laden macrophages and collagens are seen surrounding respiratory bronchioles
image2129,"What are replaced by multiple, variable-sized, circumscribed nodular masses which are grey-white in colour?",large parts of the lung parenchyma
image2130,"What is there increased in the red pulp, capsule and the trabeculae?",fibrosis trabeculae
image2130,What are dilated and congested?,the sinuses
image2131,What shows circumscribed?,cut surface of both the masses
image2131,What shows a separate encapsulated gelatinous mass?,lower part of the image
image2131,What is the main mass multilobulated with?,increased fat while lower part of the image shows a separate encapsulated gelatinous mass
image2131,What does lower part of the image show?,a separate encapsulated gelatinous mass
image2131,What is multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,main mass
image2132,What are also seen?,a few mitotic figures
image2133,What show superficial invasive islands of malignant cells in the subepithelial soft tissues?,a few areas
image2133,What do a few areas show?,superficial invasive islands of malignant cells
image2134,"What demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",histologic view of the nodular stage
image2135,What are also seen?,islands of mature cartilage
image2135,How does microscopy show characteristic lining of the cyst wall?,by epidermis and its appendages
image2136,What does not occur in the absence of appropriate T-cell-mediated immunity?,granulomatous host response
image2136,What shows massive intracellular macrophage infection with acid-fast organisms (filamentous and pink in this acid-fast stain preparation)?,mycobacterium avium infection
image2136,What does mycobacterium avium infection in a duodenal biopsy from a patient with AIDS show?,massive intracellular macrophage infection with acid-fast organisms
