image,question,answer
image1,What does high magnification show?,the bland cytology that typifies neuroendocrine tumors
image1,What form a submucosal nodule composed of tumor cells embedded in dense fibrous tissue?,carcinoid tumors
image1,What do carcinoid tumors form?,a submucosal nodule
image1,What shows the bland cytology that typifies neuroendocrine tumors?,high magnification
image1,What assumes a salt-and-pepper pattern?,the chromatin texture
image1,"What is the appearance of the chromatin texture,  with fine and coarse clumps?",a salt-and-pepper pattern
image2,What is associated with NSAID use?,typical antral ulcer
image2,What is endoscopic view of typical antral ulcer associated with?,nsaid use
image2,How is endoscopic view of typical antral ulcer associated?,with nsaid use
image3,What are seen left?,hilar lymph nodes with caseation
image3,Where are hilar lymph nodes with caseation seen?,on the left
image3,What is under the pleura in the lower part of the upper lobe?,the gray-white parenchymal focus
image4,What is relatively unaffected?,the lower pole
image4,What is there between the abscesses?,dark congestion of the renal surface
image4,What is the cortical surface studded with?,focal pale abscesses
image4,"What is studded with focal pale abscesses,  more numerous in the upper pole and middle region of the kidney?",the cortical surface
image5,Where is presence of abundant coarse black carbon pigment?,in the septal walls and around the bronchiole
image5,What is there in the septal walls and around the bronchiole?,presence of abundant coarse black carbon pigment bronchiole
image6,What is composed of small cells embedded in a finely fibrillar matrix?,the tumor
image6,What is this tumor composed of?,small cells embedded in finely fibrillar matrix (neuropil)
image6,What is seen in the upper right corner?,a homer-wright pseudorosette 
image6,What is a Homer-Wright pseudorosette?,tumor cells arranged concentrically around central core of neuropil
image7,What shows markedly dilated pelvis and calyces having irregular and ragged inner surface and containing necrotic debris and pus?,sectioned surface
image8,What do follicular carcinomas demonstrate?,capsular invasion
image8,"What demonstrate capsular invasion that may be minimal,  as in this case,  or widespread,  with extension into local structures of the neck by contrast?",follicular carcinomas
image9,How are the vascular changes?,necrotising arteriolitis and hyperplastic intimal sclerosis or onion-skin proliferation
image9,How are the parenchymal changes?,tubular loss
image9,"What are tubular loss, fine interstitial fibrosis and foci of infarction necrosis?",parenchymal changes
image10,What shows mild fatty change of liver cells?,the peripheral zone
image10,What does the peripheral zone show?,mild fatty change of liver cells
image10,What shows marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,centrilobular cells
image10,What does the centrilobular zone show?,marked degeneration and necrosis of hepatocytes accompanied by haemorrhage
image11,"What is soft, lobulated, yellowish and greasy?",cut surface of the tumour
image12,"What show diffuse granular cyto-plasm,  reflecting accumulated hepatitis B surface antigen HBsAg in chronic infections?",infected hepatocytes
image12,"What do infected hepatocytes show,  reflecting accumulated hepatitis B surface antigen HBsAg in chronic infections?",diffuse granular cyto-plasm
image13,What is associated with the spread of organisms in the perivascular spaces?,numerous areas tissue destruction
image13,How did whole-brain section show the numerous areas of tissue destruction associate?,with the spread of organisms in the perivascular spaces
image14,"What contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",testicular teratomas
image14,What do testicular teratomas contain?,mature cells from endodermal
image15,"What demonstrates a well-demarcated nodule at the right of the field,  with a portion of urethra seen to the left?",low-power photomicrograph
image15,How does low-power photomicrograph demonstrate a well-demarcated nodule at the right of the field?,with a portion of urethra seen to the left
image16,What have been stripped from the bottom half of each specimen to show the surface of the brain?,the meninges
image16,What have the meninges been stripped from?,the bottom half of each specimen
image16,What is caused by aging and reduced blood supply?,atrophy of the brain
image17,What do a few areas show?,central cystic change
image17,What show irregular plexiform masses and network of strands of epithelial cells?,plexiform areas
image17,What show central cystic change?,plexiform areas
image17,What do plexiform areas show?,irregular masses and network of strands of epithelial cells
image17,What are epithelial follicles composed of?,central area of stellate cells and peripheral layer of cuboidal or columnar cells
image17,What are composed of central area of stellate cells and peripheral layer of cuboidal or columnar cells?,epithelial follicles
image18,What is seen as glandular crowding and cellular atypia?,hyperplasia without atypia
image18,What is hyperplasia with atypia seen as?,glandular crowding and cellular atypia
image19,What does the tumour show?,combination of mucinous
image20,What are the tube and ovary to the left of the uterus totally obscured by?,the hemorrhagic inflammatory mass
image20,What are totally obscured by a hemorrhagic inflammatory mass?,the tube and ovary to the left of the uterus
image20,What is adherent to the adjacent ovary on the other side?,the tube
image20,What is the tube adherent to?,the adjacent ovary on the other side
image21,What consists of numerous swollen villi?,complete hydatidiform mole
image21,What does the complete hydatidiform mole consist of?,numerous swollen villi
image22,What are evident in this microscopic image?,distended hydropic villi and proliferation of the chorionic epithelium
image23,"What is comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",epithelial element
image24,What is equipments required for?,transcutaneous fnac
image25,What is hyperplasia without atypia characterized by?,nests of closely packed glands
image25,What is characterized by nests of closely packed glands?,hyperplasia without atypia
image25,How is hyperplasia without atypia characterized?,by nests of closely packed glands
image26,What are present?,superficial dermal fibrosis and vascular ectasia
image27,What is in chronic hypertension benign nephrosclerosis?,small contracted kidney
image28,What are fused or ill-formed?,the midface structures
image28,"What is stillbirth associated with,  in which the midface structures are fused or ill-formed?",a lethal malformation
image28,What is associated with severe internal anomalies such as maldevelopment of the brain and cardiac defects in almost all cases?,this degree of external dysmorphogenesis
image28,What is this degree of external dysmorphogenesis associated with?,severe internal anomalies
image28,How is stillbirth associated?,with a lethal malformation
image29,What is noted at earlier observations?,islet inflammation
image29,What is Amyloidosis observed late in?,the natural history of this form of diabetes
image30,What show features of cytologic atypia and mitosis?,individual cells in layers
image30,What is there?,keratosis and orderly arrangement of increased number of layers of stratified mucosa
image30,What is there across the basement membrane?,no invasion
image30,What is increased?,number of layers
image30,What do the individual cells in layers show?,features of cytologic atypia and mitosis
image31,"What are small, uniform, lymphocyte-like with scanty cytoplasm?",individual tumour cells
image31,"What are arranged in sheets, cords or aggregates and at places form pseudorosettes?",tumour cells
image32,What are the tiny silica particles?,toxic to macrophages
image32,What are toxic to macrophages?,tiny silica particles
image33,"What were absent in the rectum,  presented in the sigmoid colon?",ganglion cells
image33,Where were ganglion cells absent?,in the rectum
image34,What are seen in an enlarged cell?,a distinct nuclear inclusion and multiple cytoplasmic inclusions
image34,What are a distinct nuclear inclusion and multiple cytoplasmic inclusions seen in?,an enlarged cell
image35,What are seen?,islands of invading malignant squamous cells
image35,What are evident?,a few well-developed cell nests
image36,What are visible in some of the aspirated cells?,characteristic intranuclear inclusions
image36,How are cells obtained?,by fine-needle aspiration of papillary carcinoma
image36,How are characteristic intranuclear inclusions?,visible in some of the aspirated cells
image37,"What is at the right, in the specimen shown?",the placenta
image37,"Where is the placenta, in the specimen shown?",at the right
image37,What does the band of amnion extend from ?,the portion of the amniotic sac to encircle the leg of the fetus
image37,What extends from the portion of the amniotic sac to encircle the leg of the fetus?,the band of amnion
image38,What are presented in the background stroma?,spindle-shaped schwann cells
image38,What are Ganglioneuromas characterized by?,clusters of large ganglion cells with vesicular nuclei and abundant eosinophilic cytoplasm
image39,What is elicited by firm stroking of skin of forearm with a pencil?,triple response
image39,What is 'triple response ' elicited by?,firm stroking of skin of forearm with a pencil
image39,How is 'triple response ' elicited?,by firm stroking of skin of forearm with a pencil
image40,What is composed of cells with abundant eosinophilic cytoplasm and small regular nuclei on this high-power view?,the tumor
image40,What is the tumor composed of?,cells with abundant eosinophilic cytoplasm and small regular nuclei on this high-power view
image41,What do the alveolar lumina contain?,heart failure cells (alveolar macrophages containing haemosiderin pigment) 
image41,What contain heart failure cells alveolar macrophages containing haemosiderin pigment?,the alveolar lumina
image41,Why are the alveolar septa widened?,due to congestion
image41,"What are widened and thickened due to congestion, oedema and mild fibrosis?",the alveolar sept
image42,What do the tumour cells have?,characteristic bubbly cytoplasm and anisonucleocytosis
